Americas Core 100,0.8654,20.4,4.1,1.0,1.0,1.02
Americas Core 150,0.874,30.7,5.17,1.0,1.0,1.02
Americas Core 2500,0.8989,570.0,31.6,1.0,1.0,1.02
Americas Core 600,0.8878,110.8,12.04,1.0,1.0,1.02
Avista ESR 50,0.85,27.5,5.15,1.0,1.0,1.02
Avista ESR T5,0.8473,22.5,4.7,1.0,1.0,1.02
Bango 100N,0.86,23.5,4.545,1.0,1.0,1.02
Bango 250N,0.8613,45.65,7.008,1.0,1.0,1.02
Bristol 50T,0.87,100.5,12.8,1.0,1.0,1.02
Calpar 100,0.8623,20.01,4.05,1.0,1.0,1.02
Calpar 150,0.8623,30.7,5.3,1.0,1.0,1.02
Calpar 2500,0.8939,573.0,33.0,1.0,1.0,1.02
Calpar 325,0.88,74.0,8.56,1.0,1.0,1.02
Calpar 60,0.8571,8.3,1.79,1.0,1.0,1.02
Calpar 700,0.886,140.9,14.0,1.0,1.0,1.02
Calpar 80,0.8612,16.9,3.46,1.0,1.0,1.02
Caltex 150N,0.852,28.53,5.175,1.0,1.0,1.02
Calumet 142,0.7818,0.5,0.036,1.0,1.0,1.02
Chevron 100N,0.854,19.1,4.07,1.0,1.0,1.02
Chevron 100R,0.851,19.6,4.05,1.0,1.0,1.02
Chevron 110RLV,0.848,21.1,4.38,1.0,1.0,1.02
Chevron 220R,0.867,41.5,6.4,1.0,1.0,1.02
Chevron 600R,0.867,101.0,11.9,1.0,1.0,1.02
ConOil BSS,0.905,502.6,32.0,1.0,1.0,1.02
ConOil SN150,0.875,30.25,5.15,1.0,1.0,1.02
ConOil SN500,0.89,97.25,11.25,1.0,1.0,1.02
ConOil SN900,0.895,263.3,18.7,1.0,1.0,1.02
CP Pure Perf 110N,0.8571,20.11,4.125,1.0,1.0,1.02
CP Pure Perf 225N,0.867,42.7,6.52,1.0,1.0,1.02
CP Pure Perf 600N,0.8762,114.5,12.21,1.0,1.0,1.02
CP Pure Perf 80N,0.8644,12.8,3.1,1.0,1.0,1.02
Cross L100,0.9076,19.64,3.54,1.0,1.0,1.02
Cross L1200,0.9273,234.9,13.47,1.0,1.0,1.02
Cross L2400,0.9279,441.7,21.0,1.0,1.0,1.02
Cross L60,0.9007,9.89,2.4,1.0,1.0,1.02
EHC 35,0.855,19.1,3.9,1.0,1.0,1.02
EHC 45,0.84,23.8,4.55,1.0,1.0,1.02
EHC 60,0.865,37.3,6.0,1.0,1.0,1.02
EHC 80,0.869,55.0,7.6,1.0,1.0,1.02
